ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,
55,150000,2,1,2,29,2,0,0,0,0,0,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,
56,500000,2,1,1,45,-2,-2,-2,-2,-2,-2,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,
57,180000,2,3,1,34,0,0,0,-1,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,,679,9000,2000,
58,180000,2,2,1,34,0,0,0,0,0,0,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,
59,200000,2,1,2,34,-1,3,2,2,2,2,1587,1098,782,1166,700,1414,0,0,700,-15108.04713,1200,0,
60,400000,2,2,1,29,10,0,0,0,0,10,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,
61,500000,2,3,1,28,,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,
62,70000,1,2,1,39,0,0,0,0,0,-1,70800,-701,69938,16518,14096,830,4025,2095,1000,2000,3000,0,
63,50000,1,1,2,29,2,2,2,2,,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,
64,50000,2,2,,46,0,0,0,-2,-2,-2,28718,29166,0,0,0,0,1000,0,0,0,0,0,
65,130000,2,2,1,51,-1,-1,-2,-2,-1,-1,99,0,-135,0,2353,0,0,0,0,2353,0,0,
66,200000,1,1,1,57,-2,-2,-2,-1,2,17,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,19843.47389,
67,10000,1,2,1,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,14112.61026,200,160,
68,210000,2,1,2,30,2,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,
69,130000,2,3,2,29,1,-2,-2,-1,2,-1,-190,-9850,-9850,10311,10161,,0,0,-52,0,7319,13899,
70,20000,1,-2,2,22,2,0,0,0,0,0,18565,17204,17285,,11205,5982,0,1200,1000,500,1000,0,
71,80000,5,1,2,31,-1,-1,-1,-1,-1,-1,-255391.9617,0,390,,390,390,0,390,390,390,390,390,
72,320000,1,2,,29,2,,2,2,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,
73,200000,2,,1,32,-1,-1,-1,-1,2,,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,1395,
74,290000,2,1,2,37,,-2,-1,-1,-1,-1,0,0,3155,0,2359,0,0,3155,0,2359,0,0,
75,340000,1,1,2,32,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,5713,23453,4314,-13936.80989,25949,2016,
76,20000,1,2,2,24,0,0,2,0,0,0,14619,17216,245832.7497,16976,17332,18543,2850,0,610,630,1500,0,
77,50000,1,3,-2,25,-1,0,0,0,0,0,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,
78,300000,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,,291,291,291,291,291,291,-874,291,
79,30000,2,2,2,22,0,0,0,0,0,0,28387,29612,30326,,-959,6411,1686,1400,560,3000,1765,0,
80,240000,2,2,2,,1,-2,-2,-2,-2,-2,0,0,0,-130495.4253,0,0,0,0,0,0,0,0,
81,470000,2,3,3,33,0,0,0,0,0,0,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,
82,360000,2,1,2,26,0,0,0,,0,-1,23411,27796,30400,33100,180000,196,4796,3400,3100,,196,2963,
83,60000,1,3,2,30,12,0,0,0,0,0,26324,27471,28108,-444,19899,19771,1576,1213,648,768,1140,0,
84,400000,2,2,1,44,0,0,2,0,0,0,131595,139060,126819,104430,104990,94058,,-927,3050,3000,3200,2800,
85,50000,2,6,2,49,0,0,0,0,0,0,,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,
86,160000,1,2,2,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,
87,360000,2,1,1,45,-1,-1,2,0,-1,13,390,,780,390,390,390,1170,0,0,390,390,390,
88,160000,2,2,2,32,0,0,0,0,0,-1,3826,4751,6604,8604,7072,766,1147,2000,2000,0,19533.25772,2303,
89,130000,2,1,1,35,0,0,0,-1,-1,-1,81313,117866,17740,1330,7095,,40000,5000,1330,7095,1190,2090,
90,20000,1,3,2,44,2,2,0,0,0,2,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,
91,200000,1,1,1,53,2,2,2,2,2,2,138180,140774,142460,,147124,149531,6300,5500,5500,5500,5000,5000,
92,280000,2,1,2,39,-1,-1,-1,3,0,-2,7524,0,3968,3868,0,0,0,3968,0,0,0,0,
93,100000,2,1,2,27,-2,-2,-2,-2,-2,-2,,5555,0,0,0,0,7555,0,0,0,0,0,
94,160000,2,2,1,37,-1,-1,-1,-1,-1,-2,880,1602,840,840,0,0,1602,,840,0,0,7736,
95,60000,2,2,2,23,0,0,0,0,0,0,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,
96,90000,1,2,2,35,0,0,0,0,0,0,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,
97,360000,1,1,1,43,-1,-1,-1,-1,-1,0,3967,8322,3394,6451,26370,9956,8339,3394,12902,27000,0,68978,
98,150000,1,1,2,27,0,,-5,0,0,0,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,
99,50000,2,3,1,22,0,0,0,0,0,0,18722,18160,16997,13150,8866,,1411,1194,18034.95604,281,321,197,
100,20000,1,2,1,38,0,0,0,0,0,-1,17973,19367,19559,18240,,150,1699,1460,626,1750,-591,0,
101,140000,1,1,2,108,-2,-2,-2,-2,-2,-2,672,10212,850,415,100,1430,10212,,415,100,1430,0,
102,380000,2,1,2,30,-2,-2,-1,0,0,0,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,
103,480000,,1,1,,0,0,0,2,2,,422069,431342,479432,487066,471145,469961,16078,16713.20232,,0,18000,24200,
104,50000,2,3,2,22,0,0,0,0,0,0,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,-15750.7509,
105,60000,,2,2,26,2,2,2,2,2,3,56685,55208,59175,60218,55447,55305,0,5000,2511,6,,3000,
106,70000,2,,2,24,-1,-1,-2,-2,-2,-1,5580,0,0,0,0,26529,0,0,0,0,-602,2000,
107,80000,2,2,1,36,,-1,-1,-1,-1,-1,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,
108,350000,1,1,2,52,-1,-1,-1,-1,-1,-1,713,2272,722,867,1150,5263,2272,,867,1150,5263,5011,
109,130000,1,2,2,38,0,0,0,-1,-1,-1,171438,178382,39940,120483,44127,126568,10908,0,133657,4566,133841,4796,
110,360000,1,2,1,35,1,-2,-2,-2,-2,-2,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,
111,330000,2,1,1,31,0,0,2,0,0,0,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,
112,50000,1,3,1,47,0,0,2,0,0,0,13244,14722,15181,15928,16671,17393,2000,,1000,1000,1000,1000,
113,280000,1,2,1,41,2,2,2,2,2,3,135673,138532,134813,144401,152174,149415,6500,0,14254,14850,0,5000,
114,100000,2,1,2,24,0,0,0,0,0,0,52128,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,
115,50000,1,2,2,41,0,0,0,0,0,0,19015,,20259,20274,20311,19957,1340,1305,700,718,724,684,
116,30000,1,1,2,24,-1,2,0,0,,2,18199,17618,18631,21319,20692,21201,,1312,3000,0,1000,1000,
117,240000,1,-3,2,28,-1,-1,-1,-1,-1,-1,326,326,326,5676,476,326,21407.3487,326,5676,476,326,,
118,80000,1,2,2,26,2,0,0,0,0,0,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,1000,
119,400000,1,2,1,34,-1,-1,-1,-1,-1,-1,19660,9666,11867,7839,14837,7959,9677,11867,7839,14837,7959,5712,
120,240000,2,2,2,,0,0,0,0,-1,-1,50254,51445,53015,52479,1307,1203,2000,3000,3000,1307,,563,
121,50000,1,14,2,37,2,2,2,3,2,2,46004,45976,48953,48851,49318,51143,1000,4035,1000,1400,2800,0,
122,450000,1,1,1,,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,,0,
123,110000,2,1,1,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,,0,0,0,0,
124,310000,2,2,1,35,2,0,0,0,0,0,304991,311243,306314,258610,246491,198889,13019,11128,8407,8599,6833,5987,
125,20000,1,1,2,27,0,0,0,0,0,0,19115,18962,19298,19378,19717,15630,1404,1130,600,861,313,0,
126,20000,1,2,2,23,,4,-2,-2,-2,-2,0,0,0,0,-146355.2522,0,0,0,0,0,0,0,
127,200000,1,3,2,52,0,0,0,0,0,0,110151,99530,98951,100914,103146,104993,3568,3585,3602,3848,3669,3784,
128,180000,1,1,1,36,0,0,0,0,0,0,163736,116422,99278,-257,97753,95927,4655,2690,2067,-12694.28394,2217,1000,
129,50000,1,2,1,51,0,0,0,0,0,0,3347,3899,4503,5347,6375,7077,1000,1066,1300,1500,1200,134,
130,60000,1,3,1,55,3,2,2,0,0,0,60521,61450,57244,28853,29510,26547,2504,7,1200,1200,1100,1500,
131,30000,-3,1,2,23,1,-2,-2,-2,-1,-1,4000,5645,3508,-27,13744,5906,5645,3508,27,-996,5911,3024,
132,240000,1,1,2,41,1,-1,-1,0,,-1,95,2622,3301,3164,360,1737,2622,3301,0,360,1737,924,
133,420000,1,2,1,34,0,0,0,0,0,0,253454,247743,229049,220951,210606,188108,9744,9553,7603,7830,7253,11326,
134,330000,1,3,1,46,0,0,0,0,0,0,227389,-881,229644,227587,227775,228203,8210,,8025,8175,8391,8200,
135,30000,2,2,2,22,0,0,0,0,0,0,28452,26145,26712,25350,17603,-780,2000,1400,0,500,0,1560,
136,240000,1,2,1,34,0,0,0,2,15,2,10674,12035,13681,13269,14158,13891,1500,1800,0,1000,0,327,
137,150000,1,1,2,27,3,0,0,0,0,0,17444,19342,22000,24614,27200,30229,2500,3000,3000,3000,3500,5000,
138,210000,2,2,1,33,0,0,0,0,0,0,7166,7997,-552,9189,4404,5708,1500,1500,1000,500,2000,546,
139,50000,2,3,1,51,-1,-1,-1,-1,-2,-2,752,300,5880,0,0,0,300,5880,0,0,0,0,
140,50000,1,1,2,24,0,0,0,0,0,0,50801,50143,49586,19430,19375,18995,2360,-16822.17344,1000,900,870,2130,
141,240000,1,1,2,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,
142,180000,1,2,2,28,-1,-1,-1,-1,-1,-1,1832,0,832,332,416,416,0,416,332,500,3500,832,
143,50000,1,2,2,23,1,2,2,2,0,0,10131,10833,20583,19996,19879,18065,1000,10000,400,700,800,600,
144,170000,,2,2,29,-2,-2,-2,-2,-2,-2,12159,10000,10000,10000,9983,15846,10000,10000,10000,9983,15863,10000,
145,20000,1,,2,29,-1,-1,-5,-1,0,-1,1199,,344,2340,6702,339,15586,344,2340,4702,339,330,
146,50000,1,1,2,28,0,,0,0,0,3,4999,5913,7315,9195,10624,10138,,1500,2000,1583,1100,0,
147,170000,2,2,2,27,0,0,0,0,0,0,19269,20313,20852,17560,17918,9100,1661,1200,18979.86439,358,182,0,
148,200000,1,1,2,34,1,2,0,0,0,0,197236,176192,255620.4611,135668,132233,59875,8000,5000,55500,5000,5000,8500,
149,780000,2,,1,23,1,2,3,2,-4,0,9168,10522,10205,9898,10123,12034,1650,0,0,379,2091,1,
150,260000,2,1,1,60,1,-2,-1,-1,-1,-1,-1100,-1100,21400,0,969,869,0,22500,0,969,1000,0,
151,140000,,2,1,32,0,0,0,0,,0,86627,78142,68336,64648,58319,55251,3455,3110,-12650.16234,0,2100,2602,
152,80000,1,1,2,25,0,0,0,0,0,0,42444,55744,43476,41087,41951,31826,30000,3000,6000,8000,2000,14000,
153,350000,1,1,2,41,1,-1,-1,-1,-1,-2,208,2906,1000,630,,0,2906,1000,630,0,0,0,
154,280000,2,2,1,56,0,0,0,0,,0,208775,182350,132257,101783,-430,169311,8042,6700,5137,100000,7000,6321,
155,30000,2,3,2,26,0,0,0,0,0,0,9014,10406,-229448.5859,11935,13084,14206,1700,1500,1000,1500,1500,1500,
156,-770000,,1,1,34,0,0,0,0,0,0,23944,28049,32073,273528.3957,47086,48699,5000,5000,11885,5000,3000,5504,
157,200000,2,1,2,37,0,0,0,0,0,0,105420,102870,89643,90938,92505,94031,4000,3250,3250,3500,3560,5000,
158,200000,2,3,2,30,0,0,0,0,11,0,196031,196143,189524,167163,,122324,,7108,7680,6200,5000,4500,
159,210000,1,3,1,45,2,3,4,4,5,6,115785,122904,129847,137277,145533,154105,10478,10478,11078,11078,14779.45605,10478,
160,50000,1,3,1,57,3,2,0,0,0,0,12854,12362,13447,13427,13711,14083,0,1600,500,500,600,600,
161,30000,1,1,2,41,2,2,,2,2,0,24357,27453,26718,28168,27579,28321,3500,0,2200,0,1200,1250,
162,50000,1,2,2,27,2,-1,-1,-1,-1,2,390,390,780,216,1080,540,-10394.49957,780,216,864,0,390,
163,290000,1,3,1,47,-1,-1,-1,-1,0,-1,1234,396,396,792,396,423,396,396,792,0,423,369,
164,250000,2,1,1,34,0,0,2,,0,0,141223,156858,151841,152803,155997,160220,17994,0,5469,5656,6811,3920,
165,60000,2,2,1,46,0,0,0,0,0,0,21148,23803,24908,26034,-496,27756,3000,1500,1500,1000,1500,1500,
166,110000,2,1,,27,0,0,0,0,0,0,101640,104795,104855,74737,76058,77254,5500,3900,3000,2900,3000,2800,
167,370000,1,1,2,93,-2,-2,-2,14,-2,-2,6093,15130,8204,,4792,13453,15383,8204,15413,4792,13453,4699,
168,100000,1,2,1,27,-1,2,2,0,0,0,102349,,58824,29336,22979,-246,3166,0,1330,1398,12,50000,
169,90000,2,2,1,35,0,0,0,0,0,2,72112,73854,75526,77317,85852,88290,3500,3500,3652,10000,4000,0,
170,50000,2,2,2,22,0,0,0,0,0,0,-189499.943,29092,29366,27737,28318,28806,1510,1442,982,1017,1277,567,
171,270000,1,2,2,37,0,0,0,0,0,0,37695,33397,30534,27598,26344,24641,5000,2000,3000,4000,3000,2000,
172,300000,2,1,2,30,-1,-1,-1,-1,-1,-1,688,3280,0,4340,2672,800,3288,0,4340,2672,800,746,
173,50000,2,2,2,22,-1,0,0,0,0,0,8567,15273,11650,7457,3115,7725,-794,1000,149,0,5000,10000,
174,50000,2,1,2,24,1,,-2,-2,-2,-2,-709,-709,-709,-2898,-3272,-3272,0,0,0,0,0,0,
175,360000,1,1,,29,1,-2,-1,-1,-2,4,0,0,77,0,0,0,0,77,0,0,0,0,
176,130000,1,3,-2,56,1,2,-5,2,2,3,64617,65978,67282,68557,72796,71345,3000,3000,3000,5500,0,0,
177,80000,1,1,,30,-2,-1,,0,0,0,6187,100,600,1438,1919,5380,504,500,1000,500,3500,0,
178,50000,1,,2,30,1,-4,0,0,0,2,48860,47801,,30221,22877,22361,0,1500,1000,2000,0,2000,
179,20000,2,2,2,22,0,0,0,0,0,0,16001,12622,,13130,14034,14906,,1201,500,1500,1500,1000,
180,1020000,2,2,1,29,0,0,2,0,0,0,77883,81811,80250,61467,10662,11486,5800,1000,600,400,1000,0,
181,240000,1,1,2,37,-1,-1,2,0,0,-1,12212,26578,25331,26605,26279,1256,15000,0,2000,0,1256,-12590.90488,
182,80000,2,3,2,35,0,-1,0,0,0,0,49608,12412,14873,17364,17770,17460,12500,6500,3000,2000,3000,2000,
183,500000,2,1,1,47,0,0,0,0,0,0,56422,110616,110340,122967,108834,70064,70010,30357,30000,20000,18448.93352,20000,
184,60000,2,2,1,24,0,0,0,0,0,0,58024,,48839,18971,19323,19395,2500,1600,-14636.90974,1000,737,2000,
185,20000,1,2,2,25,0,0,0,0,0,-1,10642,11677,13070,12280,1615,1620,1200,1593,601,135,1824,0,
186,100000,2,2,1,38,1,2,0,0,2,0,14483,13961,15323,16268,-121973.154,16448,0,1600,1500,0,1000,1500,
187,360000,2,1,2,32,1,-1,-1,-1,-1,-1,2616,57077,5287,68445,13881,16240,17703.75065,5295,68454,13889,16250,38313,
188,200000,2,3,2,47,2,2,2,2,2,2,199436,202947,193936,,-737,189915,8214,7000,6800,7134,0,6836,
189,130000,2,2,1,34,1,-1,0,0,0,0,0,5396,10270,13576,13864,14636,5396,5000,3500,501,1000,2000,
190,20000,2,2,2,31,1,5,4,4,3,2,21703,21087,-211829.611,20835,20219,20487,0,1000,0,,760,0,
191,310000,1,1,2,32,0,0,0,0,0,0,59901,62147,62102,65875,60387,43328,10020,6031,10057,5028,5060,4223,
192,-550000,2,1,2,27,2,0,0,0,2,0,19625,20347,21669,23005,22499,22873,1342,1664,2000,0,,846,
193,180000,2,1,2,29,-1,-1,-1,-2,-5,0,11386,199,0,0,17227,17042,199,0,-14803.13486,17227,341,5114,
194,180000,2,1,2,,-1,-1,2,0,0,-2,14670,,21282,10200,0,0,37867,0,200,0,16144.93504,0,
195,50000,1,2,1,36,0,0,0,0,-1,,47790,18114,18250,-14,72,658,2000,1000,2000,500,1000,20011,
196,50000,2,1,2,24,1,2,2,2,2,2,36166,37188,37680,38462,39228,40035,1900,1400,1700,1532,1600,0,
197,150000,2,2,1,34,-2,-5,-2,-2,-2,-2,0,0,0,116,0,1500,0,0,116,0,1500,0,
198,20000,2,1,2,22,0,0,0,0,-1,0,18553,19446,19065,8332,18868,19247,1500,1032,541,20000,693,1000,
199,500000,2,1,1,34,-2,-2,-2,-1,-1,-1,412,138,2299,1251,1206,1151,138,23400.96013,1251,1206,1151,15816,
200,30000,2,3,2,22,1,2,2,0,0,0,29010,29256,28122,29836,1630,0,1000,85,1714,104,0,-439,
201,180000,2,1,1,38,-2,-2,-2,-2,-2,-5,750,0,0,0,0,0,0,0,0,-430,0,0,
202,140000,1,1,2,31,0,0,2,0,0,2,27123,27299,17985,20225,27407,10833,25000,0,3000,7800,0,2500,
203,140000,2,1,2,26,-1,0,-1,-1,-1,-1,13424,18000,13001,5818,13506,487,10000,13001,5841,13506,487,7004,
204,120000,1,2,2,26,0,0,0,0,0,0,107314,110578,113736,116000,119131,122135,5000,5000,4152,5000,5000,5000,
205,360000,2,2,1,48,0,0,0,0,0,0,226430,231878,234192,190211,173557,146511,9100,7300,5800,5600,5600,4100,
206,20000,1,,6,43,-1,-1,0,0,0,,227,20351,20237,19339,19450,19337,22359,1305,1258,1459,3457,1700,
207,100000,1,5,1,104,-1,-1,-1,-1,-1,-1,390,1473,390,390,390,0,-10361.48205,390,390,390,0,,
208,210000,2,2,1,41,-1,-1,-1,-1,-1,-1,3088,1586,343,3763,877,0,1586,343,3763,877,0,419,
209,80000,2,2,2,24,-4,0,0,0,0,0,81625,81554,79599,49552,49509,49568,3200,3000,2038,2000,1800,1800,
210,330000,2,1,1,50,-1,-1,-1,-1,-2,-2,8872,4337,2854,1690,0,1709,4345,2854,1702,0,1709,258,
211,220000,,1,2,24,0,0,0,-1,-1,,105607,108917,111520,8303,0,85632,5000,5050,8303,0,85632,0,
212,210000,2,6,1,38,-5,-2,-1,0,-1,-1,0,0,250,123,789,1222,0,250,0,789,1222,9616,
213,40000,2,3,1,43,0,0,0,0,0,0,38257,38901,38103,-485,33138,31339,1700,1504,1200,1500,1500,1000,
214,30000,1,2,2,39,0,0,0,2,0,0,28347,28108,18388,12992,7736,8032,3036,2309,0,1000,2000,148,
215,470000,1,2,2,27,2,2,2,2,0,0,296573,303320,307843,479978,305145,309959,13000,11001,0,10484,10838,10367,
216,30000,1,3,1,42,-1,-1,-1,-1,-1,2,390,390,390,240,1320,780,390,390,240,1470,0,0,
217,240000,2,2,1,36,3,-2,-2,17,-2,-2,-946,,-946,-946,-946,-946,0,0,0,0,0,0,
218,80000,1,2,2,36,2,0,0,0,0,0,79278,78501,78534,80016,76235,78245,3100,3500,3400,3000,3500,3000,
219,110000,2,3,0,31,0,0,0,0,0,0,89989,84229,79288,73315,63818,63208,-511,5000,3000,3000,3000,8954,
220,310000,2,1,2,38,-1,17,-1,-1,-2,-2,1424,4542,126,0,0,0,4542,126,,0,0,0,
221,360000,2,1,1,40,2,2,2,0,0,0,105167,115468,112157,114690,117845,120238,12000,0,5900,5000,4500,4700,
222,330000,2,3,2,45,0,0,0,0,0,10,,334954,335527,333860,335760,330121,12388,12378,,12450,12213,11678,
223,300000,2,2,2,35,0,0,0,0,0,0,291619,297268,205629,215827,208464,212508,12019,9006,17000,12000,9557,15000,
224,320000,2,2,2,33,0,-4,0,0,0,0,91653,94037,108597,65913,43805,,10042,18832,2117,14497.14684,5045,3754,
